start,end,text_name,new_match,original_match,translation,original,len_translation,len_original,len_diff
159,163,beowulf.txt,(159-163),(159-63),"Yet the monster was persecuting young and old, the dark shadow of death, lurking and entrapping them. In endless night he ruled the misty moors— Us humans don’t even know how to trace the turnings of such hellish secrets.","ac se æglæca ehtende wæs, deorc deaþscua, duguþe ond geogoþe, seomade ond syrede, sinnihte heold mistige moras; men ne cunnon hwyder helrunan hwyrftum scriþað.",39,24,15
144,158,beowulf.txt,(144-158),(144-58),"So ruled Grendel, and struggled against the right, alone against all, until the best of halls stood idle. The time was great, a season of twelve winters, that the friend of the Scyldings suffered misery, every woe, the broadest sorrows. Therefore it became an open secret to men, to the sons of humanity, through miserable songs, that Grendel struggled a long while against Hrothgar, wearing malicious hatred, felony and feud for many long years, a perpetual strife—he wished for no accord with any man among the host of the Danes, to turn aside the soul-slaying or settle it with payment, nor need any of the counselors expect to receive bright gifts from the hands of a killer.","Swa rixode ond wið rihte wan, ana wið eallum, oðþæt idel stod husa selest. Wæs seo hwil micel; XII wintra tid torn geþolode wine Scyldinga, weana gehwelcne, sidra sorga. Forðam secgum wearð, ylda bearnum, undyrne cuð, gyddum geomore, þætte Grendel wan hwile wið Hroþgar, heteniðas wæg, fyrene ond fæhðe fela missera, singale sæce, sibbe ne wolde wið manna hwone mægenes Deniga, feorhbealo feorran, fea þingian, ne þær nænig witena wenan þorfte beorhtre bote to banan folmum,",117,76,41
1,3,beowulf.txt,(1-3),(1-3),"Listen! We have gathered the glory in days of yore of the Spear-Danes, kings among men: how these warriors performed deeds of courage.","Hwæt! We Gardena in geardagum, þeodcyninga, þrym gefrunon, hu ða æþelingas ellen fremedon.",23,13,10
4,11,beowulf.txt,(4-11),(4-11),"Often Scyld Scefing seized the mead-seats from hordes of harmers, from how many people, terrifying noble men, after he was found so needy at the start. He wrangled his remedy after, growing hale under the heavens, thriving honorably, until all of them had to obey him, those scattered about, across the whale-road, must pay him tribute. That was a good king!","Oft Scyld Scefing sceaþena þreatum, monegum mægþum, meodosetla ofteah, egsode eorlas. Syððan ærest wearð feasceaft funden, he þæs frofre gebad, weox under wolcnum, weorðmyndum þah, oðþæt him æghwylc þara ymbsittendra ofer hronrade hyran scolde, gomban gyldan. þæt wæs god cyning!",61,40,21
12,19,beowulf.txt,(12-19),(12-19),"To him was conceived an heir in days after, young in the yards, whom God had sent as a comfort to the people—he understood the dire distress they had suffered before, bereft of a king for a long while. Therefore the Lord of Life, the Sovereign of Glory, gave to them worldly honor. Beow was famous—prosperity sprang widely— as Scyld’s son, throughout all the northern lands.","ðæm eafera wæs æfter cenned, geong in geardum, þone god sende folce to frofre; fyrenðearfe ongeat þe hie ær drugon aldorlease lange hwile. Him þæs liffrea, wuldres wealdend, woroldare forgeaf; Beowulf wæs breme (blæd wide sprang), Scyldes eafera Scedelandum in.",66,40,26
20,25,beowulf.txt,(20-25),(20-25),"So ought a young man to make good his disposition, gracious payments from the start, even in the lap of his father, so that loyal companions should linger with him in old age, when war comes soon, the people should follow him. By these praiseful deeds one ought to flourish in every tribe everywhere.","Swa sceal geong guma gode gewyrcean, fromum feohgiftum on fæder bearme, þæt hine on ylde eft gewunigen wilgesiþas, þonne wig cume, leode gelæsten; lofdædum sceal in mægþa gehwære man geþeon.",54,30,24
26,31,beowulf.txt,(26-31),(26-31),"Then Scyld turned himself away at his given hour— faring full of greatness—into the covenant of the Lord. Then they brought him to the briny beach, his beloved retainers, just as he himself had bidden while he still wielded words, the benefactor of the Scyldings— the first of the land, dear and old, had ruled them a long time.","Him ða Scyld gewat to gescæphwile felahror feran on frean wære. Hi hyne þa ætbæron to brimes faroðe, swæse gesiþas, swa he selfa bæd, þenden wordum weold wine Scyldinga; leof landfruma lange ahte.",59,33,26
32,42,beowulf.txt,(32-42),(32-42),"There in the harbor stood a ringed prow, icy and outward-bound, a nobleman’s vessel. Then they laid down their beloved prince, the dispenser of rings, in the bosom of the ship, the notorious by the mast. There were many treasures, brought from far-ways, adornments laden there— I’ve never heard of a ship equipped more fit with war-weapons and battle-shirts, with swords and with sarks. Many treasures lay in his lap, which were supposed to float far away with him into the flood’s keeping.","þær æt hyðe stod hringedstefna, isig ond utfus, æþelinges fær. Aledon þa leofne þeoden, beaga bryttan, on bearm scipes, mærne be mæste. þær wæs madma fela of feorwegum, frætwa, gelæded; ne hyrde ic cymlicor ceol gegyrwan hildewæpnum ond heaðowædum, billum ond byrnum; him on bearme læg madma mænigo, þa him mid scoldon on flodes æht feor gewitan.",83,57,26
43,46,beowulf.txt,(43-46),(43-46),"No lesser gifts did they furnish him, than the wealth of their people, more than what they gave him, when they sent him forth at the start, alone over the waves, while still a baby.","Nalæs hi hine læssan lacum teodan, þeodgestreonum, þon þa dydon þe hine æt frumsceafte forð onsendon ænne ofer yðe umborwesende.",35,20,15
333,339,beowulf.txt,(333-339),(333-39),"“From where have you all ferried those fretted shields, grey hauberks and masked helmets, this forest of battle-shafts? I am Hrothgar’s herald and servant. Never have I seen many strange men thus, more haughty of bearing. I reckon that you come in pride, hardly in exile, but seeking Hrothgar out of majestic intentions.”","""Hwanon ferigeað ge fætte scyldas, græge syrcan ond grimhelmas, heresceafta heap? Ic eom Hroðgares ar ond ombiht. Ne seah ic elþeodige þus manige men modiglicran. Wen ic þæt ge for wlenco, nalles for wræcsiðum, ac for higeþrymmum Hroðgar sohton.""",53,39,14
47,52,beowulf.txt,(47-52),(47-52),"Nevertheless they set over him a golden standard, high over his head, letting the seas bear him, giving him to the spear-waves—their hearts grieving, minds mourning. No man knows how to say truly, among the hall-wise or heroes under heaven, who took in those treasures.","þa gyt hie him asetton segen geldenne heah ofer heafod, leton holm beran, geafon on garsecg; him wæs geomor sefa, murnende mod. Men ne cunnon secgan to soðe, selerædende, hæleð under heofenum, hwa þæm hlæste onfeng.",45,36,9
64,73,beowulf.txt,(64-73),(64-73),"Then was Hrothgar given success in war, praises in battle, so that his kinsfolk eagerly obeyed him until the youth grew hardy, a great company of warriors. It occurred to his mind that he wished to command his men to construct a great mead-house, the hall of all halls— what the children of men had always asked for— and there within, all would be given, the young and the old, such as God had granted him, everything except the common lands and the lives of men.","þa wæs Hroðgare heresped gyfen, wiges weorðmynd, þæt him his winemagas georne hyrdon, oðð þæt seo geogoð geweox, magodriht micel. Him on mod bearn þæt healreced hatan wolde, medoærn micel, men gewyrcean þonne yldo bearn æfre gefrunon, ond þær on innan eall gedælan geongum ond ealdum, swylc him god sealde, buton folcscare ond feorum gumena.",86,55,31
74,85,beowulf.txt,(74-85),(74-85),"Then I have learned it far and wide that the work was proclaimed to the many tribes throughout this middle-earth, that they must adorn that folk-stead. And so it happened in his time, immediately among men, that it was completely finished, the greatest of halls—he created for it the name Heorot, he who had the widest authority of his words. He left no promises unfulfilled and dealt out rings, riches at his feastings. The hall towered there, high and horn-wide, awaiting the whelming flames, the hateful tongues. It was not so long yet until the blade-hatred must awaken sworn in-laws after their slaughtering malice.","ða ic wide gefrægn weorc gebannan manigre mægþe geond þisne middangeard, folcstede frætwan. Him on fyrste gelomp, ædre mid yldum, þæt hit wearð ealgearo, healærna mæst; scop him Heort naman se þe his wordes geweald wide hæfde. He beot ne aleh, beagas dælde, sinc æt symle. Sele hlifade, heah ond horngeap, heaðowylma bad, laðan liges; ne wæs hit lenge þa gen þæt se ecghete aþumsweorum æfter wælniðe wæcnan scolde.",104,69,35
86,98,beowulf.txt,(86-98),(86-98),"Then wretchedly a mighty monster suffered for a space, he who dwelt in darkness, every day hearing the joy loud in the hall. The voice of harps was there and the ringing song of the scop. One spoke who knew best, of the creation of men, relating from long before. He told that the Almighty made the earth, a shining-bright plain, so surrounded by waters. He established both sun and moon, victorious and triumphant, the lamps of light for those living on land, and ornamented all the corners of the earth with limbs and leaves—he also shaped life itself in all kinds of creatures which quickly scurry about.","ða se ellengæst earfoðlice þrage geþolode, se þe in þystrum bad, þæt he dogora gehwam dream gehyrde hludne in healle; þær wæs hearpan sweg, swutol sang scopes. Sægde se þe cuþe frumsceaft fira feorran reccan, cwæð þæt se ælmihtiga eorðan worhte, wlitebeorhtne wang, swa wæter bebugeð, gesette sigehreþig sunnan ond monan leoman to leohte landbuendum ond gefrætwade foldan sceatas leomum ond leafum, lif eac gesceop cynna gehwylcum þara ðe cwice hwyrfaþ.",108,71,37
99,114,beowulf.txt,(99-114),(99-114),"So these noble warriors lodged in their delights blissfully — until their lonely opponent made evil upon them, the fiend from hell. That ferocious spirit was named Grendel, the notorious border-strider, who held the moors, the swampy stronghold, the lair of water-monsters, an unhappy creature, keeping them a long while, since the Shaper had condemned him as the kin of Cain—that killing had the Eternal Lord avenged, after the man had struck down Abel. Cain rejoiced not in that felony, but he banished him far away, the Measurer for those wicked deeds, from the kindred of men. From there was conceived all sorts of monstrous things, ogres and elves and revenants, likewise the giants who struggled against God for many ages— who gave them back their just deserts.","Swa ða drihtguman dreamum lifdon eadiglice, oððæt an ongan fyrene fremman feond on helle. Wæs se grimma gæst Grendel haten, mære mearcstapa, se þe moras heold, fen ond fæsten; fifelcynnes eard wonsæli wer weardode hwile, siþðan him scyppend forscrifen hæfde in Caines cynne. þone cwealm gewræc ece drihten, þæs þe he Abel slog; ne gefeah he þære fæhðe, ac he hine feor forwræc, metod for þy mane, mancynne fram. þanon untydras ealle onwocon, eotenas ond ylfe ond orcneas, swylce gigantas, þa wið gode wunnon lange þrage; he him ðæs lean forgeald.",128,91,37
115,125,beowulf.txt,(115-125),(115-25),"Then Grendel departed to seek out, after the night had fallen, that high house, how the Ring-Danes had occupied it after their beer-taking—he discovered therein a company of noblemen slumbering after their feast— they knew no sorrow, no misery of mankind. That wicked creature, grim and greedy, was instantly ready, savage and severe, and he snatched up thirty thanes from their rest. From there he soon departed, exulting in his spoils, venturing back to his home, seeking out his lair glutted by slaughter.","Gewat ða neosian, syþðan niht becom, hean huses, hu hit Hringdene æfter beorþege gebun hæfdon. Fand þa ðær inne æþelinga gedriht swefan æfter symble; sorge ne cuðon, wonsceaft wera. Wiht unhælo, grim ond grædig, gearo sona wæs, reoc ond reþe, ond on ræste genam þritig þegna, þanon eft gewat huðe hremig to ham faran, mid þære wælfylle wica neosan.",83,59,24
126,137,beowulf.txt,(126-137),(126-37),"It was in the dark before dawn, the earliest morn, when Grendel’s savage strength was revealed to men. Then a great cry was heaved up after the banquet, a mighty clamor at morning. The famous prince, a noble tested true, sat unblithe, suffering powerfully, enduring the tearing away of his thanes. Afterwards they looked upon the trace of that loathed one, that accursed ghast. That struggle was too strong, hateful and long-lasting. And it was no longer a time than the next night, when Grendel did it all again, more violent killing, and mourned it not, feud or felony. He was too imbrued in them.","ða wæs on uhtan mid ærdæge Grendles guðcræft gumum undyrne; þa wæs æfter wiste wop up ahafen, micel morgensweg. Mære þeoden, æþeling ærgod, unbliðe sæt, þolode ðryðswyð, þegnsorge dreah, syðþan hie þæs laðan last sceawedon, wergan gastes; wæs þæt gewin to strang, lað ond longsum. Næs hit lengra fyrst, ac ymb ane niht eft gefremede morðbeala mare ond no mearn fore, fæhðe ond fyrene; wæs to fæst on þam.",105,69,36
138,143,beowulf.txt,(138-143),(138-43),"Then it was too easy to find those seeking a roomier rest elsewhere, their bed in the outbuildings, when it became signified, said soothly, as a manifest token, the hatred of the hall-stalker. Afterwards he who wished to escape from the fiend held himself aloof, farther and faster from the hall.","þa wæs eaðfynde þe him elles hwær gerumlicor ræste sohte, bed æfter burum, ða him gebeacnod wice sweotolan tacne healðegnes hete; heold hyne syðþan fyr ond fæstor se þæm feonde ætwand.",51,31,20
59,63,beowulf.txt,(59-63),(59-63),"From him, the head of the armies, came four children, counted forth in a chain, awakened in the world, Heorogar and Hrothgar and good Halga, and I heard that his daughter was Onela’s queen, the beloved bedfellow of the Battle-Scylfing.","ðæm feower bearn forð gerimed in worold wocun, weoroda ræswan, Heorogar ond Hroðgar ond Halga til; hyrde ic þæt wæs Onelan cwen, Heaðoscilfingas healsgebedda.",40,24,16
340,347,beowulf.txt,(340-347),(340-47),"The courage-bold one answered him then, the chieftain of the Weders, speaking a word after, hardy under his helmet: “We are the table-comrades of Hygelac—Beowulf is my name. I wish to speak to the son of Halfdane, that famous prince, your lord, about my errand— if he wishes to grant us the favor, that we may approach him so excellent.”","Him þa ellenrof andswarode, wlanc Wedera leod, word æfter spræc, heard under helme: ""We synt Higelaces beodgeneatas; Beowulf is min nama. Wille ic asecgan sunu Healfdenes, mærum þeodne, min ærende, aldre þinum, gif he us geunnan wile þæt we hine swa godne gretan moton.""",60,44,16
348,355,beowulf.txt,(348-355),(348-55),"Wulfgar spoke in reply—he was a prince of the Wendels— his mindful spirit was known by many, his valor and his wisdom: “I gladly will inquire with the friend of the Danes, the lord of the Scyldings, the dispenser of rings and famous prince, as you are petitioning about your mission, and will presently make known the answer that the good man thinks to return to me.”","Wulfgar maþelode (þæt wæs Wendla leod; wæs his modsefa manegum gecyðed, wig ond wisdom): ""Ic þæs wine Deniga, frean Scildinga, frinan wille, beaga bryttan, swa þu bena eart, þeoden mærne, ymb þinne sið, ond þe þa ondsware ædre gecyðan ðe me se goda agifan þenceð.""",67,45,22
356,370,beowulf.txt,(356-370),(356-70),"Hastily he turned away to where Hrothgar sat old and hoary, among his company of nobles. He went, courage-bold so that he stood by the shoulder of the Danish lord, knowing the glorious custom. Wulfgar presented his message unto his friendly lord: “Here have come foreign travelers of the Geatish people over the ocean’s coursing. These champions name their oldest Beowulf. They are requesting that they, my prince, be allowed to exchange words with you. Do not ordain them a refusal, gracious Hrothgar in your straightforward reply— they seem worthy in their war-gear, in the esteem of nobles. Indeed their chief is most competent he who guided these battle-warriors hither.”","Hwearf þa hrædlice þær Hroðgar sæt eald ond anhar mid his eorla gedriht; eode ellenrof, þæt he for eaxlum gestod Deniga frean; cuþe he duguðe þeaw. Wulfgar maðelode to his winedrihtne: ""Her syndon geferede, feorran cumene ofer geofenes begang Geata leode; þone yldestan oretmecgas Beowulf nemnað. Hy benan synt þæt hie, þeoden min, wið þe moton wordum wrixlan. No ðu him wearne geteoh ðinra gegncwida, glædman Hroðgar. Hy on wiggetawum wyrðe þinceað eorla geæhtlan; huru se aldor deah, se þæm heaðorincum hider wisade.""",110,83,27
611,619,beowulf.txt,(611-619),(611-19),"There was a laughter of heroes, a singing sound, their words were winsome. Wealhtheow went forth, Hrothgar’s queen, mindful of manners, gold-fretted she greeted the men in the hall, and the generous woman gave a cup first to the home-warden of the East-Danes, bidding him be blithe at the beer-taking, cherished by the people. He accepted it gladly, the feasting and the hall-flagon, a king victory-bold.","ðær wæs hæleþa hleahtor, hlyn swynsode, word wæron wynsume. Eode Wealhþeow forð, cwen Hroðgares, cynna gemyndig, grette goldhroden guman on healle, ond þa freolic wif ful gesealde ærest Eastdena eþelwearde, bæd hine bliðne æt þære beorþege, leodum leofne. He on lust geþeah symbel ond seleful, sigerof kyning.",66,47,19
620,630,beowulf.txt,(620-630),(620-30),"Then the lady of the Helmings rounded throughout, giving the jeweled cup to young and old, on every side until that time arrived when the ring-laden queen brought the mead-horn to Beowulf, illustrious in spirit. She greeted the Geat chieftain and gave thanks to God, wordfully wisdom-fast, so that her wish should come true, that she could anticipate assistance against the crimes coming from some earl. Beowulf received the cup, a slaughter-fell warrior, from Wealhtheow and then, bucking to fight, spoke eloquently, making a speech, the son of Ecgtheow:","Ymbeode þa ides Helminga duguþe ond geogoþe dæl æghwylcne, sincfato sealde, oþþæt sæl alamp þæt hio Beowulfe, beaghroden cwen mode geþungen, medoful ætbær; grette Geata leod, gode þancode wisfæst wordum þæs ðe hire se willa gelamp þæt heo on ænigne eorl gelyfde fyrena frofre. He þæt ful geþeah, wælreow wiga, æt Wealhþeon, ond þa gyddode guþe gefysed;",89,57,32
631,638,beowulf.txt,(631-638),(631-38),"“I decided that, when I mounted the waves, sitting in a sea-boat, among my cadre of warriors, that I would work the will of your people completely, or else I would succumb to the slaughter, fixed in the fiend’s grip. I must perform this deed of manly courage, or else I will await my final day here in this mead-hall.”","Beowulf maþelode, bearn Ecgþeowes: ""Ic þæt hogode, þa ic on holm gestah, sæbat gesæt mid minra secga gedriht, þæt ic anunga eowra leoda willan geworhte oþðe on wæl crunge, feondgrapum fæst. Ic gefremman sceal eorlic ellen, oþðe endedæg on þisse meoduhealle minne gebidan.""",60,43,17
639,641,beowulf.txt,(639-641),(639-41),"These words were most pleasing to the woman, the boasting speech of the Geat—she went gold-laden, the generous queen of her people to sit by her lord.","ðam wife þa word wel licodon, gilpcwide Geates; eode goldhroden freolicu folccwen to hire frean sittan.",27,16,11
642,651,beowulf.txt,(642-651),(642-51),"Then there were again, as before, within the hall glorious words spoken and a tribe in high spirits, the voice of the victorious folk, until, almost immediately, the son of Halfdane wished to seek his evening rest. He knew a raid upon that high house had been planned by the monster since the sun’s light could be seen, until the night was darkening over all, and that shape of shadowy night would come scurrying, dark under a dark sky. The troops all rose.","þa wæs eft swa ær inne on healle þryðword sprecen, ðeod on sælum, sigefolca sweg, oþþæt semninga sunu Healfdenes secean wolde æfenræste; wiste þæm ahlæcan to þæm heahsele hilde geþinged, siððan hie sunnan leoht geseon ne meahton, oþðe nipende niht ofer ealle, scaduhelma gesceapu scriðan cwoman, wan under wolcnum. Werod eall aras.",83,52,31
652,661,beowulf.txt,(652-661),(652-61),"Then that man hailed the other, Hrothgar to Beowulf, and bid him fair fortune, ceding him care of the wine-hall, and speaking these words: “Never have I before yielded up to any man, ever since I could control hand and shield, this majestic hall of the Danes, save to you right now. Keep and hold it well, this best of houses. Be mindful of fame. Reveal your mighty courage. Keep watch for the wrathful! There will be no want of the desirable for you if you surpass that daring deed with your life.”","Gegrette þa guma oþerne, Hroðgar Beowulf, ond him hæl abead, winærnes geweald, ond þæt word acwæð: ""Næfre ic ænegum men ær alyfde, siþðan ic hond ond rond hebban mihte, ðryþærn Dena buton þe nu ða. Hafa nu ond geheald husa selest, gemyne mærþo, mægenellen cyð, waca wið wraþum. Ne bið þe wilna gad, gif þu þæt ellenweorc aldre gedigest.""",93,59,34
662,668,beowulf.txt,(662-668),(662-68),"Then Hrothgar departed with his retinue of warriors, the hedge of the Scyldings, out of the hall. The first in war wished to seek Wealhtheow, his queen as his consort. The glorious king had appointed such a hall-guardian against Grendel—as men would soon learn— who kept this unique office for the prince of Danes, pronouncing this giant-watch.","ða him Hroþgar gewat mid his hæleþa gedryht, eodur Scyldinga, ut of healle; wolde wigfruma Wealhþeo secan, cwen to gebeddan. Hæfde kyningwuldor Grendle togeanes, swa guman gefrungon, seleweard aseted; sundornytte beheold ymb aldor Dena, eotonweard abead.",57,36,21
607,610,beowulf.txt,(607-610),(607-10),"Then was the dispenser of treasures greatly contented expecting relief, grey-haired and war-ready, the lord of the Bright-Danes. He heard, the people’s ward, in Beowulf a well-conceived plan.","þa wæs on salum sinces brytta, gamolfeax ond guðrof; geoce gelyfde brego Beorhtdena, gehyrde on Beowulfe folces hyrde fæstrædne geþoht.",28,20,8
669,676,beowulf.txt,(669-676),(669-76),"Indeed the chief of the Geats trusted eagerly in his proud power, and the protection of the Measurer. Then he undid his iron byrnie, his helmet from his head, giving his adorned sword, best of all iron blades, to a serving-man, and ordered him to hold that battle-gear. Then the good man spoke some boasting words, Beowulf the Geat, before he climbed into bed:","Huru Geata leod georne truwode modgan mægnes, metodes hyldo. ða he him of dyde isernbyrnan, helm of hafelan, sealde his hyrsted sweord, irena cyst, ombihtþegne, ond gehealdan het hildegeatwe. Gespræc þa se goda gylpworda sum, Beowulf Geata, ær he on bed stige:",64,42,22
688,696a,beowulf.txt,(688-696a),(688-96a),"The battle-brave lay bent down, the bolster receiving the nobleman’s face, and about him there were many daring sea-warriors bowed down to their hall-rest. None of them thought that he would ever seek again from there his beloved home, his kinsfolk, or his cherished city, where he was raised, but they had learned that a gory death had before seized too many great men, the Danish people, in that wine-flowing hall.","Hylde hine þa heaþodeor, hleorbolster onfeng eorles andwlitan, ond hine ymb monig snellic særinc selereste gebeah. Nænig heora þohte þæt he þanon scolde eft eardlufan æfre gesecean, folc oþðe freoburh, þær he afeded wæs; ac hie hæfdon gefrunen þæt hie ær to fela micles in þæm winsele wældeað fornam, Denigea leode.",71,51,20
696b,702a,beowulf.txt,(696b-702a),(696b-702a),"But the Lord had already given them the weft of war-fortune, to the Wederish men, aid and assistance, so that they would overcome their enemy entirely through a singular strength, by one’s own might. The truth is revealed, that mighty God has ruled over mankind for many wide years.","Ac him dryhten forgeaf wigspeda gewiofu, Wedera leodum, frofor ond fultum, þæt hie feond heora ðurh anes cræft ealle ofercomon, selfes mihtum. Soð is gecyþed þæt mihtig god manna cynnes weold wideferhð.",49,32,17
702b,709,beowulf.txt,(702b-709),(702b-709),"The demon came in the dark night, a shadow-slider gliding. The bowmen slept, those who must keep hold over the horned hall, all except for one. It was a fact plain to men that the spectral scather was not allowed to tear them into the shadows, when the Measurer willed it not— but that one, watching and wakeful, wrathful in his rancor, swollen-minded awaited the end of this struggle.","Com on wanre niht scriðan sceadugenga. Sceotend swæfon, þa þæt hornreced healdan scoldon, ealle buton anum. þæt wæs yldum cuþ þæt hie ne moste, þa metod nolde, se scynscaþa under sceadu bregdan; ac he wæccende wraþum on andan bad bolgenmod beadwa geþinges.",69,42,27
710,719,beowulf.txt,(710-719),(710-19),"Then he came off the moors under towering mist, Grendel creeping, bearing God’s ire. The wicked harmer intended to snatch up some human in that high hall. He came under heavy skies until he readily perceived the wine-house, the golden hall of humanity, spangled with treasure. Nor was this the first time that he had come seeking Hrothgar’s home— but never in his life-days, before or since, would he ever find harder fortune or hall-thanes.","ða com of more under misthleoþum Grendel gongan, godes yrre bær; mynte se manscaða manna cynnes sumne besyrwan in sele þam hean. Wod under wolcnum to þæs þe he winreced, goldsele gumena, gearwost wisse, fættum fahne. Ne wæs þæt forma sið þæt he Hroþgares ham gesohte; næfre he on aldordagum ær ne siþðan heardran hæle, healðegnas fand.",75,57,18
720,727,beowulf.txt,(720-727),(720-27),"Then he came to the hall, a warrior questing, deprived of joys. The door suddenly sprang open, fixed with fire-forged bonds, after he had touched it with his hands. Then the battle-minded slithered through the hall-mouth swollen with rage. Quickly after that, the fiend stepped inside onto the paved floor, moving maddened in mind—from his eyes there stood an unlovely light, very much like a flame.","Com þa to recede rinc siðian, dreamum bedæled. Duru sona onarn, fyrbendum fæst, syþðan he hire folmum æthran; onbræd þa bealohydig, ða he gebolgen wæs, recedes muþan. Raþe æfter þon on fagne flor feond treddode, eode yrremod; him of eagum stod ligge gelicost leoht unfæger.",66,45,21
728,736a,beowulf.txt,(728-736a),(728-36a),"He saw there in the hall many warriors, a kindred company sleeping gathered together, a band of bound men. Then his mind laughed, that terrifying monster, intending to tear every one of them asunder before the day arrived, the lives from their bodies. Hopes of a stuffed belly filled him. But that wasn’t how it would turn out— that he would be allowed any longer to devour through the dark night the kindred of men.","Geseah he in recede rinca manige, swefan sibbegedriht samod ætgædere, magorinca heap. þa his mod ahlog; mynte þæt he gedælde, ærþon dæg cwome, atol aglæca, anra gehwylces lif wið lice, þa him alumpen wæs wistfylle wen. Ne wæs þæt wyrd þa gen þæt he ma moste manna cynnes ðicgean ofer þa niht.",75,52,23
736b,745a,beowulf.txt,(736b-745a),(736b-45a),"Surpassingly powerful, one man watched him, the kinsman of Hygelac, seeing how the evil harmer wished to proceed with his fearful talons. Nor did that monster think to delay, but he swiftly snatched up the very first moment a sleeping warrior and he eviscerated him at once, biting into his bone-locks, drinking blood from veins, swallowing him up in gluttonous gobbets—immediately he had chewed up the unliving entirely, feet and hands.","þryðswyð beheold mæg Higelaces, hu se manscaða under færgripum gefaran wolde. Ne þæt se aglæca yldan þohte, ac he gefeng hraðe forman siðe slæpendne rinc, slat unwearnum, bat banlocan, blod edrum dranc, synsnædum swealh; sona hæfde unlyfigendes eal gefeormod, fet ond folma.",71,42,29
677,687,beowulf.txt,(677-687),(677-87),"“I never tallied my lone war-prowess the poorer, my deeds of war, than Grendel would himself. Therefore I do not wish to kill him with a sword, deprive him of life, though I might thoroughly. He knows not of the excellent skills, which he may strike against me, or hew my shield, although he may be ferocious in his malicious deeds. Yet we two must in the night eschew the sword if he dares to seek out a war without a weapon—knowing God, the Holy Lord, will afterwards adjudge the glory to whichever hand seems the better.”","""No ic me an herewæsmun hnagran talige, guþgeweorca, þonne Grendel hine; forþan ic hine sweorde swebban nelle, aldre beneotan, þeah ic eal mæge. Nat he þara goda þæt he me ongean slea, rand geheawe, þeah ðe he rof sie niþgeweorca; ac wit on niht sculon secge ofersittan, gif he gesecean dear wig ofer wæpen, ond siþðan witig god on swa hwæþere hond, halig dryhten, mærðo deme, swa him gemet þince.""",97,70,27
1698b,1709a,beowulf.txt,(1698b-1709a),(1698b-1709),"Then spoke the wise leader, the son of Halfdane— all fell silent: “He can say that, indeed, who does both truth and right for his people, remembering all from way back, the elder home-guardian, that this noble was born the better man. The fruits of your deeds are lofted up, throughout the wide ways, my friend Beowulf, over every tribe. Steadily you keep it all, your power with the wisdom of your mind. I must fulfill my friendship to you, as we speak further. You must be a comfort long-enduring to all your people, a help to the heroes.","ða se wisa spræc sunu Healfdenes (swigedon ealle): ""þæt, la, mæg secgan se þe soð ond riht fremeð on folce, feor eal gemon, eald ᛟweard, þæt ðes eorl wære geboren betera! Blæd is aræred geond widwegas, wine min Beowulf, ðin ofer þeoda gehwylce. Eal þu hit geþyldum healdest, mægen mid modes snyttrum. Ic þe sceal mine gelæstan freode, swa wit furðum spræcon. ðu scealt to frofre weorþan eal langtwidig leodum þinum, hæleðum to helpe.",99,74,25
590,606,beowulf.txt,(590-606),(590-606),"“I say something else that’s true, son of Ecglaf, that Grendel never would have shown so many terrors, that fearsome fighter, to your own prince, such shame in Heorot, if your spirit, your heart, was as cleverly pointed as you hold yourself— but he has discovered that he need not fear much the feuds of your people —Victory-Scyldings— nor their fearsome onrush of their blades. He extorts tribute, is merciful to none of the Danish people, makes war on joy itself, kills it and eats it, reckoning nothing of the attacks of the Spear-Danes. But I must show him in battle the might and courage of the Geats very soon. He may go to mead, courageously at last, who is allowed, after the morning light of another day, the spangled sun shines from the south over the children of men!”","Secge ic þe to soðe, sunu Ecglafes, þæt næfre Grendel swa fela gryra gefremede, atol æglæca, ealdre þinum, hynðo on Heorote, gif þin hige wære, sefa swa searogrim, swa þu self talast. Ac he hafað onfunden þæt he þa fæhðe ne þearf, atole ecgþræce eower leode swiðe onsittan, Sigescyldinga; nymeð nydbade, nænegum arað leode Deniga, ac he lust wigeð, swefeð ond sendeþ, secce ne weneþ to Gardenum. Ac ic him Geata sceal eafoð ond ellen ungeara nu, guþe gebeodan. Gæþ eft se þe mot to medo modig, siþþan morgenleoht ofer ylda bearn oþres dogores, sunne sweglwered suþan scineð.""",140,98,42
559,573,beowulf.txt,(559-573),(559-73),"“And so frequently these hating foes harassed me, oppressing me heavily. I ministered to them with the bitter blade, as it served them best. They took no pleasure at all in their fullness, those wicked things that set upon me, sitting around the banquet-table near the sea floor— but in the morning, wounded by the blade, strewn up upon the sandy strand, dreaming by the sword, so that never afterwards, about the deep channel, would they hinder the course of sea-farers. Light came from the east, the bright beacon of God, and the ocean slackened until I could see the headlands, those windy walls. The course of events often spares the undoomed earl, when his courage avails.","Swa mec gelome laðgeteonan þreatedon þearle. Ic him þenode deoran sweorde, swa hit gedefe wæs. Næs hie ðære fylle gefean hæfdon, manfordædlan, þæt hie me þegon, symbel ymbsæton sægrunde neah; ac on mergenne mecum wunde be yðlafe uppe lægon, sweordum aswefede, þæt syðþan na ymb brontne ford brimliðende lade ne letton. Leoht eastan com, beorht beacen godes; brimu swaþredon, þæt ic sænæssas geseon mihte, windige weallas. Wyrd oft nereð unfægne eorl, þonne his ellen deah.",117,75,42
